Model,Held-out target,Emotion,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
Concat Fusion MLP,EMODB,angry,79.38316722037652,0.29334500933838786,98.09523809523809,1.0910894511799605,87.75132275132275,0.5405717751699527
Concat Fusion MLP,EMODB,disgust,80.85041592394533,0.4319210314921066,82.38993710691824,4.458316628540199,81.57993326189045,2.42819512587759
Concat Fusion MLP,EMODB,fear,93.4639054288532,3.289600682147422,59.620596205962066,4.622959921201082,72.65407558557713,2.540477939161606
Concat Fusion MLP,EMODB,happy,85.71452970432313,4.00885604975526,76.55367231638418,3.208422794237441,80.77467444886072,0.8745310270606652
Concat Fusion MLP,EMODB,neutral,76.53956860911732,4.2898950597046,95.59748427672956,1.4410615392942911,84.965648187964,2.6325098967828096
Concat Fusion MLP,EMODB,sad,89.9940078753638,4.471939181324094,86.13333333333333,3.7806525010020824,87.89705994748108,0.6348983190903112
Concat Fusion MLP,RAVDESS,angry,94.07009667111596,1.2243473843397608,98.95833333333333,0.0,96.4495905334913,0.6455667443743904
Concat Fusion MLP,RAVDESS,disgust,85.98252583426786,9.866993526749418,96.875,0.5208333333333428,90.89189252233051,5.480093100531437
Concat Fusion MLP,RAVDESS,fear,95.4217093535979,1.1862248705556613,93.92361111111113,0.30070326520293555,94.66539575534036,0.7353561289599672
Concat Fusion MLP,RAVDESS,happy,95.48303867367618,1.499869148589192,94.96527777777779,0.6014065304058537,95.21650432885117,0.5572263928072749
Concat Fusion MLP,RAVDESS,neutral,92.01409569188009,2.237654082669558,81.94444444444444,8.735934462089674,86.43879306727096,4.175343431462712
Concat Fusion MLP,RAVDESS,sad,97.30598674770329,0.9882430522106566,86.11111111111113,5.991470113450481,91.27127584987296,2.950937872268107
Concat Fusion MLP,RESD,angry,94.38752741850088,4.341986526917078,48.401826484018265,3.9544538985590756,63.93955045182327,3.9857215731874978
Concat Fusion MLP,RESD,disgust,51.760703041721406,5.243073411752979,66.4864864864865,1.4301358438187017,58.06221752741944,2.841862016912606
Concat Fusion MLP,RESD,fear,47.641266555640215,7.211311551755768,76.98056801195814,6.864551571423036,58.33238372265449,3.475801986814249
Concat Fusion MLP,RESD,happy,65.62091252114789,8.50049381587942,55.198776758409785,3.3812453191889813,59.60480987383655,1.6058043772286958
Concat Fusion MLP,RESD,neutral,70.9407359910378,1.4688302071285744,51.83246073298429,2.2821460437385714,59.86088947986863,1.1309320942968526
Concat Fusion MLP,RESD,sad,49.56225496856587,4.077236663205009,45.679012345679006,8.64197530864198,46.974842291123515,3.695837663598184
Sequence-level Cross-Attention,EMODB,angry,77.66733411412092,1.9541739045699695,96.66666666666667,0.4123930494211485,86.1195850080731,1.0556149546129978
Sequence-level Cross-Attention,EMODB,disgust,76.16615104204139,3.7800470894493126,85.84905660377359,0.0,80.68566263218413,2.095227393123005
Sequence-level Cross-Attention,EMODB,fear,94.89573879935325,1.2709467368464449,60.433604336043366,3.2857332392905594,73.80876728449545,2.5293164175776153
Sequence-level Cross-Attention,EMODB,happy,88.3448999105518,1.5544368065283294,76.8361581920904,1.7641237283611284,82.17133760630054,0.7747331000140799
Sequence-level Cross-Attention,EMODB,neutral,84.6134181828071,4.427559150927612,86.79245283018868,3.401463467418848,85.6022098426688,2.210983217713942
Sequence-level Cross-Attention,EMODB,sad,84.11726428816307,1.8004411255690003,90.13333333333333,1.2220201853215658,87.00581287565429,0.6466855029044727
Sequence-level Cross-Attention,RAVDESS,angry,94.5517357418491,1.2234119916991104,99.13194444444444,0.6014065304058537,96.78191457599873,0.35940723556519866
Sequence-level Cross-Attention,RAVDESS,disgust,99.46235523085618,0.0028906050513124223,96.35416666666667,0.5208333333333286,97.88312142662672,0.2701514177672806
Sequence-level Cross-Attention,RAVDESS,fear,97.74074470441171,0.9261160239155114,89.23611111111113,2.621470290024557,93.27237588729774,1.0746612160862976
Sequence-level Cross-Attention,RAVDESS,happy,96.97675130256023,1.9347070297920066,93.57638888888887,0.6014065304058711,95.2351876932433,0.6349530172468658
Sequence-level Cross-Attention,RAVDESS,neutral,86.04024585332996,1.631129009270731,98.26388888888887,0.6014065304058711,91.73984436353253,0.8957395701166708
Sequence-level Cross-Attention,RAVDESS,sad,89.92493549143795,1.215377846374534,92.88194444444446,1.591172116304107,91.37326547479229,1.0575558433531653
Sequence-level Cross-Attention,RESD,angry,89.55834301200156,2.9434946267625652,49.01065449010654,1.3181512995196933,63.3182207452713,0.45381003627923566
