feature,accuracy_mean,accuracy_sd_across_folds,balanced_accuracy_mean,balanced_accuracy_sd_across_folds,macro_f1_mean,macro_f1_sd_across_folds,n_outer_folds
Handcrafted,0.9929881645795702,0.003410314011409694,0.9928534122060357,0.0032780906872121275,0.9922411958533391,0.0029247199435238516,5
emotion2vec,0.7835550762350811,0.030127423539063065,0.7764030786468208,0.039931680817299905,0.758299839740312,0.03791577389888881,5
