dataset,model,macro_f1_mean,macro_f1_fold_std,accuracy_mean,accuracy_fold_std,uar_mean,uar_fold_std,weighted_f1_mean,weighted_f1_fold_std,n_outer_folds,mean_within_fold_seed_sd_macro_f1
ravdess,Concat Fusion MLP,0.9433995291247337,0.04432863870707854,0.9462878787878788,0.042707724412779334,0.9475694444444445,0.03916845198846697,0.9464463208382103,0.04275153114018751,5,0.006276276353308007
ravdess,Handcrafted MLP,0.510608771831777,0.04269998739170785,0.5150757575757575,0.04892702020136849,0.513888888888889,0.043898557303553076,0.5155444776529726,0.04612244816678974,5,0.01626693771142834
ravdess,Handcrafted SVM-RBF,0.5165515251103284,0.029226478493584153,0.5281818181818182,0.04388188504053519,0.5127083333333333,0.029355785678087016,0.5285477917028498,0.03722448837612642,5,
ravdess,emotion2vec MLP,0.9416862174345724,0.03737566226716283,0.9445454545454546,0.035704248884828135,0.9470833333333333,0.03118975674682192,0.9449402397310986,0.035213466562316074,5,0.005124552199794139
resd,Concat Fusion MLP,0.5915656344938368,0.0706354587307667,0.6233300440258891,0.08091581501536114,0.619346019459451,0.07071088535126017,0.6273561577202261,0.08393464550300508,5,0.02804875062657882
resd,Handcrafted MLP,0.16770877179114646,0.02904441582721901,0.1914058720943695,0.05209133228642869,0.19772829598766142,0.03405652267098247,0.17916483232848002,0.04592134730260903,5,0.013428789931206933
resd,Handcrafted SVM-RBF,0.1721702321751146,0.04133177187637398,0.19020930956734344,0.049594179564296716,0.20029888646416505,0.03246411581460265,0.18304633266190443,0.05432676672742761,5,
resd,emotion2vec MLP,0.6197229789928118,0.08335165141415725,0.651828214338573,0.09354551076651564,0.6420238408163454,0.08700581196929866,0.6551536830936481,0.09678028605889986,5,0.013265184794584398
